timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1546056207228,5078,http://localhost:33143/Portfolio/Investmentpick,200,"Embedded resource download error:http://localhost:33143/js/modern-business.js code:404 message:Not Found, ",Thread Group 1-1,text,false,,307392,6452,6,6,http://localhost:33143/Portfolio/shareperchase,1524,0,32
1546056207228,1524,http://localhost:33143/Portfolio/Investmentpick-0,302,Found,Thread Group 1-1,text,true,,925,878,6,6,http://localhost:33143/Portfolio/Investmentpick,1524,0,32
1546056208768,16,http://localhost:33143/Portfolio/Investmentpick-1,200,OK,Thread Group 1-1,text,true,,3197,552,6,6,http://localhost:33143/Portfolio/shareperchase,14,0,0
1546056208902,88,http://localhost:33143/Portfolio/Investmentpick-2,200,OK,Thread Group 1-1,text,true,,28148,546,6,6,http://localhost:33143/css/bootstrap.css,87,0,1
1546056208904,13,http://localhost:33143/Portfolio/Investmentpick-3,200,OK,Thread Group 1-1,text,true,,1521,552,6,6,http://localhost:33143/css/modern-business.css,13,0,1
1546056208906,102,http://localhost:33143/Portfolio/Investmentpick-4,200,OK,Thread Group 1-1,text,true,,94593,557,6,6,http://localhost:33143/Scripts/jquery-1.10.2.min.js,101,0,7
1546056208901,34,http://localhost:33143/Portfolio/Investmentpick-5,200,OK,Thread Group 1-1,text,true,,22319,559,6,6,http://localhost:33143/Scripts/jquery.validate.min.js,34,0,0
1546056208906,101,http://localhost:33143/Portfolio/Investmentpick-6,200,OK,Thread Group 1-1,text,true,,6172,571,6,6,http://localhost:33143/Scripts/jquery.validate.unobtrusive.min.js,101,0,1
1546056208908,3398,http://localhost:33143/Portfolio/Investmentpick-7,200,OK,Thread Group 1-1,text,true,,34129,570,6,6,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,3287,0,3197
1546056208950,69,http://localhost:33143/Portfolio/Investmentpick-8,200,OK,Thread Group 1-1,text,true,,55695,544,6,6,http://localhost:33143/js/bootstrap.js,69,0,1
1546056209009,9,http://localhost:33143/Portfolio/Investmentpick-9,404,Not Found,Thread Group 1-1,text,false,,5404,550,6,6,http://localhost:33143/js/modern-business.js,9,0,1
1546056209010,30,http://localhost:33143/Portfolio/Investmentpick-10,200,OK,Thread Group 1-1,text,true,,55289,573,6,6,http://localhost:38431/db420c88b0ce466ba593ef6aec931ebc/browserLink,12,0,1
1546056208152,4701,http://localhost:33143/Portfolio/Investmentpick,200,"Embedded resource download error:http://localhost:33143/js/modern-business.js code:404 message:Not Found, ",Thread Group 1-2,text,false,,307392,6452,6,6,http://localhost:33143/Portfolio/shareperchase,612,0,3
1546056208152,612,http://localhost:33143/Portfolio/Investmentpick-0,302,Found,Thread Group 1-2,text,true,,925,878,6,6,http://localhost:33143/Portfolio/Investmentpick,612,0,3
